"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Hits"
"org.hibernate.internal.AbstractSharedSessionContract.pulseTransactionCoordinator ()","6,886 ms (0.3%)","6,886 ms (0.3%)","6,886 ms (0%)","6,886 ms (0%)","3"
"org.hibernate.engine.internal.StatefulPersistenceContext.clear ()","6,812 ms (0.3%)","6,812 ms (0.3%)","23,814 ms (0%)","23,814 ms (0%)","14"
"org.hibernate.engine.internal.EntityEntryContext.clearAllReferencesFromManagedEntities ()","6,679 ms (0.3%)","6,679 ms (0.3%)","6,679 ms (0%)","6,679 ms (0%)","5"
"org.hibernate.event.internal.AbstractFlushingEventListener.flushCollections ()","6,609 ms (0.3%)","6,609 ms (0.3%)","12,548 ms (0%)","12,548 ms (0%)","8"
"org.hibernate.internal.util.collections.IdentityMap.get ()","6,604 ms (0.3%)","6,604 ms (0.3%)","33,578 ms (0%)","33,578 ms (0%)","15"
"org.hibernate.metamodel.mapping.internal.SimpleForeignKeyDescriptor.getJdbcMapping ()","6,599 ms (0.3%)","6,599 ms (0.3%)","6,599 ms (0%)","6,599 ms (0%)","3"
"org.mariadb.jdbc.client.result.Result.getString ()","6,575 ms (0.3%)","6,575 ms (0.3%)","82,074 ms (0%)","82,074 ms (0%)","22"
"org.apache.catalina.connector.Request.getRequestURI ()","6,513 ms (0.3%)","6,513 ms (0.3%)","6,513 ms (0%)","6,513 ms (0%)","2"
"io.micrometer.core.instrument.Tags.and ()","6,439 ms (0.3%)","6,439 ms (0.3%)","26,365 ms (0%)","26,365 ms (0%)","12"
"com.fasterxml.jackson.core.json.UTF8StreamJsonParser.nextFieldName ()","6,196 ms (0.3%)","6,196 ms (0.3%)","6,196 ms (0%)","6,196 ms (0%)","1"
"io.jsonwebtoken.impl.Base64UrlCodec.ensurePadding ()","6,196 ms (0.3%)","6,196 ms (0.3%)","6,196 ms (0%)","6,196 ms (0%)","1"
"org.mariadb.jdbc.ServerPreparedStatement.executeBatchStandard ()","6,196 ms (0.3%)","6,196 ms (0.3%)","18,130 ms (0%)","13,513 ms (0%)","4"
