"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Hits"
"org.mariadb.jdbc.client.result.Result.growDataArray ()","1,682 ms (0.3%)","1,682 ms (0.3%)","1,682 ms (0%)","1,682 ms (0%)","2"
"org.hibernate.sql.results.internal.InitializersList$Builder.toArray ()","1,608 ms (0.2%)","1,608 ms (0.2%)","1,608 ms (0%)","1,608 ms (0%)","1"
"org.hibernate.loader.ast.spi.Loadable.isAffectedByInfluencers ()","1,495 ms (0.2%)","1,495 ms (0.2%)","1,495 ms (0%)","1,495 ms (0%)","1"
"com.fasterxml.jackson.databind.deser.BasicDeserializerFactory.createMapDeserializer ()","1,489 ms (0.2%)","1,489 ms (0.2%)","4,226 ms (0%)","4,226 ms (0%)","5"
"org.mariadb.jdbc.client.ColumnDecoder.decode ()","1,473 ms (0.2%)","1,473 ms (0.2%)","2,487 ms (0%)","2,487 ms (0%)","4"
"org.mariadb.jdbc.util.ClientParser.parameterParts ()","1,407 ms (0.2%)","1,407 ms (0.2%)","1,407 ms (0%)","1,407 ms (0%)","1"
"org.apache.tomcat.util.threads.ThreadPoolExecutor.runWorker ()","1,396 ms (0.2%)","1,396 ms (0.2%)","59,629,882 ms (3.6%)","2,711,908 ms (3.1%)","200"
"org.apache.tomcat.util.buf.ByteChunk.toStringInternal ()","1,388 ms (0.2%)","1,388 ms (0.2%)","2,492 ms (0%)","2,492 ms (0%)","2"
"com.fasterxml.jackson.core.json.UTF8StreamJsonParser._parseNumber2 ()","1,388 ms (0.2%)","1,388 ms (0.2%)","1,388 ms (0%)","1,388 ms (0%)","1"
"jakarta.servlet.http.HttpServletResponseWrapper.getStatus ()","1,356 ms (0.2%)","1,356 ms (0.2%)","1,356 ms (0%)","1,356 ms (0%)","9"
"com.fasterxml.jackson.core.JsonFactory.createParser ()","1,316 ms (0.2%)","1,316 ms (0.2%)","2,447 ms (0%)","2,447 ms (0%)","3"
"org.hibernate.metamodel.mapping.internal.BasicEntityIdentifierMappingImpl.getIdentifier ()","1,305 ms (0.2%)","1,305 ms (0.2%)","11,589 ms (0%)","11,589 ms (0%)","18"
"org.apache.tomcat.util.net.SocketProperties.setProperties ()","1,259 ms (0.2%)","1,259 ms (0.2%)","1,259 ms (0%)","1,259 ms (0%)","1"
"org.mariadb.jdbc.plugin.codec.ClobCodec.decodeText ()","1,233 ms (0.2%)","1,233 ms (0.2%)","1,233 ms (0%)","1,233 ms (0%)","4"
"org.hibernate.metamodel.mapping.internal.BasicEntityIdentifierMappingImpl.resolveSqlSelection ()","1,211 ms (0.2%)","1,211 ms (0.2%)","1,211 ms (0%)","1,211 ms (0%)","1"
"org.hibernate.sql.results.internal.InitializersList.initializeInstance ()","1,210 ms (0.2%)","1,210 ms (0.2%)","210,351 ms (0%)","210,351 ms (0.2%)","264"
"org.hibernate.internal.AbstractSharedSessionContract.accessTransaction ()","1,210 ms (0.2%)","1,210 ms (0.2%)","1,210 ms (0%)","1,210 ms (0%)","1"
